time,price
01.01.2020,152.1582794189453
08.01.2020,156.55172729492188
15.01.2020,160.77137756347656
22.01.2020,159.76715087890625
29.01.2020,173.92274475097656
05.02.2020,178.0941162109375
12.02.2020,180.78810119628906
19.02.2020,162.2873992919922
26.02.2020,159.28369140625
04.03.2020,155.80775451660156
11.03.2020,141.9136505126953
18.03.2020,143.62738037109375
25.03.2020,152.6997528076172
01.04.2020,158.29611206054688
08.04.2020,168.1817626953125
15.04.2020,162.48854064941406
22.04.2020,164.4153594970703
29.04.2020,175.01748657226562
06.05.2020,176.7118682861328
13.05.2020,177.79632568359375
20.05.2020,175.8017578125
27.05.2020,179.53427124023438
03.06.2020,184.28208923339844
10.06.2020,187.94252014160156
17.06.2020,196.0400390625
24.06.2020,197.59352111816406
01.07.2020,202.1957244873047
08.07.2020,202.2928009033203
15.07.2020,202.68118286132812
22.07.2020,196.14683532714844
29.07.2020,207.08917236328125
05.08.2020,197.46730041503906
12.08.2020,205.3415069580078
19.08.2020,210.17674255371094
26.08.2020,221.19618225097656
02.09.2020,197.243896484375
09.09.2020,203.2003173828125
16.09.2020,201.87664794921875
23.09.2020,201.720947265625
30.09.2020,200.4070281982422
07.10.2020,216.90403747558594
14.10.2020,208.91348266601562
21.10.2020,207.5508575439453
28.10.2020,200.91311645507812
04.11.2020,205.37074279785156
11.11.2020,208.72854614257812
18.11.2020,208.1445770263672
25.11.2020,210.98268127441406
02.12.2020,210.78749084472656
09.12.2020,208.9529571533203
16.12.2020,218.52577209472656
23.12.2020,218.7306671142578
30.12.2020,212.63182067871094
06.01.2021,209.73361206054688
13.01.2021,211.20712280273438
20.01.2021,226.7129364013672
27.01.2021,233.71932983398438
03.02.2021,237.87637329101562
10.02.2021,237.8080291748047
17.02.2021,227.63021850585938
24.02.2021,228.74134826660156
03.03.2021,228.6533203125
10.03.2021,232.4971160888672
17.03.2021,232.3699493408203
24.03.2021,226.765625
31.03.2021,242.42454528808594
07.04.2021,252.82144165039062
14.04.2021,252.59646606445312
21.04.2021,256.22509765625
28.04.2021,242.35606384277344
05.05.2021,240.83029174804688
12.05.2021,237.7493438720703
19.05.2021,246.19989013671875
26.05.2021,242.53335571289062
02.06.2021,247.6016387939453
09.06.2021,253.27774047851562
16.06.2021,260.2871398925781
23.06.2021,266.0612487792969
30.06.2021,272.1980895996094
07.07.2021,275.4527587890625
14.07.2021,273.825439453125
21.07.2021,280.90350341796875
28.07.2021,281.4720458984375
04.08.2021,280.805419921875
11.08.2021,287.3148193359375
18.08.2021,296.6671142578125
25.08.2021,296.5082702636719
01.09.2021,294.8385009765625
08.09.2021,294.45538330078125
15.09.2021,289.55419921875
22.09.2021,278.4749450683594
29.09.2021,283.6217041015625
06.10.2021,287.6683654785156
13.10.2021,302.7452392578125
20.10.2021,304.5917663574219
27.10.2021,327.20220947265625
03.11.2021,329.9720153808594
10.11.2021,333.4686584472656
17.11.2021,331.6711730957031
24.11.2021,325.3013916015625
01.12.2021,329.5621643066406
08.12.2021,323.0873718261719
15.12.2021,322.0542297363281
22.12.2021,335.7908630371094
29.12.2021,323.7466735839844
05.01.2022,309.941162109375
12.01.2022,297.8083801269531
19.01.2022,283.8749084472656
26.01.2022,303.8206481933594
02.02.2022,299.6878356933594
09.02.2022,295.6632995605469
16.02.2022,283.11724853515625
23.02.2022,290.83172607421875
02.03.2022,271.99835205078125
09.03.2022,283.1405334472656
16.03.2022,299.8144836425781
23.03.2022,311.00604248046875
30.03.2022,306.53924560546875
06.04.2022,278.12164306640625
13.04.2022,281.3164367675781
20.04.2022,266.4469909667969
27.04.2022,277.8455505371094
04.05.2022,265.7370300292969
11.05.2022,263.09442138671875
18.05.2022,255.9949951171875
25.05.2022,268.69830322265625
01.06.2022,269.3209533691406
08.06.2022,241.6377410888672
15.06.2022,250.77981567382812
22.06.2022,253.48785400390625
29.06.2022,259.7835388183594
06.07.2022,250.7106475830078
13.07.2022,256.50225830078125
20.07.2022,248.96127319335938
27.07.2022,271.6139221191406
03.08.2022,279.0066223144531
10.08.2022,289.295166015625
17.08.2022,273.2149963378906
24.08.2022,260.4538269042969
31.08.2022,250.8268280029297
07.09.2022,249.57887268066406
14.09.2022,240.13015747070312
21.09.2022,234.14794921875
28.09.2022,246.49864196777344
05.10.2022,223.25318908691406
12.10.2022,236.2179412841797
19.10.2022,248.2615966796875
26.10.2022,225.98678588867188
02.11.2022,226.68008422851562
09.11.2022,239.6547393798828
16.11.2022,242.6854705810547
23.11.2022,238.7012481689453
30.11.2022,243.45877075195312
07.12.2022,255.17881774902344
14.12.2022,240.16128540039062
21.12.2022,235.35409545898438
28.12.2022,238.19471740722656
