time,price
01.01.2020,213.05999755859375
08.01.2020,219.05999755859375
15.01.2020,221.44000244140625
22.01.2020,217.7899932861328
29.01.2020,209.8300018310547
05.02.2020,207.19000244140625
12.02.2020,217.8000030517578
19.02.2020,196.77000427246094
26.02.2020,185.88999938964844
04.03.2020,178.19000244140625
11.03.2020,149.4199981689453
18.03.2020,160.97999572753906
25.03.2020,166.8000030517578
01.04.2020,168.8300018310547
08.04.2020,178.1699981689453
15.04.2020,170.8000030517578
22.04.2020,182.91000366210938
29.04.2020,207.07000732421875
06.05.2020,210.10000610351562
13.05.2020,216.8800048828125
20.05.2020,232.1999969482422
27.05.2020,232.72000122070312
03.06.2020,238.6699981689453
10.06.2020,235.64999389648438
17.06.2020,242.24000549316406
24.06.2020,227.07000732421875
01.07.2020,240.86000061035156
08.07.2020,239.72999572753906
15.07.2020,241.75
22.07.2020,230.1199951171875
29.07.2020,249.8300018310547
05.08.2020,256.1300048828125
12.08.2020,262.3399963378906
19.08.2020,280.82000732421875
26.08.2020,295.44000244140625
02.09.2020,271.1600036621094
09.09.2020,272.4200134277344
16.09.2020,254.75
23.09.2020,261.7900085449219
30.09.2020,258.6600036621094
07.10.2020,276.1400146484375
14.10.2020,267.55999755859375
21.10.2020,283.2900085449219
28.10.2020,265.29998779296875
04.11.2020,272.42999267578125
11.11.2020,275.0
18.11.2020,276.9200134277344
25.11.2020,286.54998779296875
02.12.2020,283.3999938964844
09.12.2020,275.54998779296875
16.12.2020,267.0899963378906
23.12.2020,276.7799987792969
30.12.2020,270.9700012207031
06.01.2021,251.08999633789062
13.01.2021,261.1000061035156
20.01.2021,282.04998779296875
27.01.2021,267.0799865722656
03.02.2021,269.45001220703125
10.02.2021,273.9700012207031
17.02.2021,265.8599853515625
24.02.2021,259.0
03.03.2021,265.739990234375
10.03.2021,279.2799987792969
17.03.2021,290.6300048828125
24.03.2021,288.0
31.03.2021,306.260009765625
07.04.2021,309.760009765625
14.04.2021,302.6499938964844
21.04.2021,303.57000732421875
28.04.2021,318.3599853515625
05.05.2021,306.5299987792969
12.05.2021,309.9599914550781
19.05.2021,327.7900085449219
26.05.2021,329.1300048828125
02.06.2021,333.67999267578125
09.06.2021,336.75
16.06.2021,339.0299987792969
23.06.2021,351.8900146484375
30.06.2021,352.7799987792969
07.07.2021,352.0899963378906
14.07.2021,341.6600036621094
21.07.2021,367.80999755859375
28.07.2021,351.239990234375
04.08.2021,361.1300048828125
11.08.2021,358.45001220703125
18.08.2021,365.510009765625
25.08.2021,379.3800048828125
01.09.2021,382.17999267578125
08.09.2021,376.5299987792969
15.09.2021,357.4800109863281
22.09.2021,340.6499938964844
29.09.2021,332.9599914550781
06.10.2021,323.7699890136719
13.10.2021,339.989990234375
20.10.2021,315.80999755859375
27.10.2021,328.0799865722656
03.11.2021,335.3699951171875
10.11.2021,342.9599914550781
17.11.2021,337.25
24.11.2021,324.4599914550781
01.12.2021,322.80999755859375
08.12.2021,333.739990234375
15.12.2021,334.20001220703125
22.12.2021,346.2200012207031
29.12.2021,336.5299987792969
05.01.2022,334.3699951171875
12.01.2022,318.1499938964844
19.01.2022,300.1499938964844
26.01.2022,319.0
02.02.2022,220.17999267578125
09.02.2022,221.0
16.02.2022,202.0800018310547
23.02.2022,203.49000549316406
02.03.2022,190.2899932861328
09.03.2022,192.02999877929688
16.03.2022,216.64999389648438
23.03.2022,229.86000061035156
30.03.2022,231.83999633789062
06.04.2022,214.13999938964844
13.04.2022,217.30999755859375
20.04.2022,180.9499969482422
27.04.2022,212.02999877929688
04.05.2022,197.64999389648438
11.05.2022,202.6199951171875
18.05.2022,181.27999877929688
25.05.2022,193.63999938964844
01.06.2022,195.64999389648438
08.06.2022,163.72999572753906
15.06.2022,157.0500030517578
22.06.2022,160.67999267578125
29.06.2022,168.19000244140625
06.07.2022,163.27000427246094
13.07.2022,175.77999877929688
20.07.2022,159.14999389648438
27.07.2022,160.19000244140625
03.08.2022,168.52999877929688
10.08.2022,179.47000122070312
17.08.2022,161.11000061035156
24.08.2022,157.16000366210938
31.08.2022,158.5399932861328
07.09.2022,153.1300048828125
14.09.2022,146.08999633789062
21.09.2022,134.39999389648438
28.09.2022,140.27999877929688
05.10.2022,128.5399932861328
12.10.2022,132.8000030517578
19.10.2022,137.50999450683594
26.10.2022,95.19999694824219
02.11.2022,96.47000122070312
09.11.2022,117.08000183105469
16.11.2022,111.44000244140625
23.11.2022,109.45999908447266
30.11.2022,114.12000274658203
07.12.2022,120.1500015258789
14.12.2022,117.08999633789062
21.12.2022,116.87999725341797
28.12.2022,120.33999633789062
